	benchmark	hardware_vendor	system	#_cores	#_chips	#_cores_per_chip	processor_mhz	base_copies	result	baseline	published
191	CINT2006rate	Lenovo Global Technology	ThinkSystem SR950 (2.50 GHz, Intel Xeon Platinum 8180M)	112	4	28	2500	224	5560	5340	Sep-2017
192	CINT2006rate	Lenovo Global Technology	ThinkSystem SR950 (2.70 GHz, Intel Xeon Platinum 8168)	192	8	24	2700	384	10100	9730	Oct-2017
193	CINT2006rate	Lenovo Global Technology	ThinkSystem SR950 (3.00 GHz, Intel Xeon Platinum 8158)	96	8	12	3000	192	6100	5800	Oct-2017
194	CINT2006rate	Lenovo Global Technology	ThinkSystem SR950 (3.00 GHz, Intel Xeon Platinum 8158)	48	4	12	3000	96	3110	2940	Sep-2017
195	CINT2006rate	Lenovo Global Technology	ThinkSystem SR950 (3.60 GHz, Intel Xeon Platinum 8156)	32	8	4	3600	64	2290	2160	Oct-2017
196	CINT2006rate	Lenovo Global Technology	ThinkSystem SR950 (3.60 GHz, Intel Xeon Platinum 8156)	16	4	4	3600	32	1150	1080	Sep-2017
197	CINT2006rate	Lenovo Global Technology	ThinkSystem ST550 (2.00 GHz, Intel Xeon Platinum 8153)	32	2	16	2000	64	1400	1340	Sep-2017
198	CINT2006rate	Lenovo Global Technology	ThinkSystem ST550 (3.60 GHz, Intel Xeon Platinum 8156)	8	2	4	3600	16	591	556	Oct-2017
199	CINT2006rate	Nokia	AirFrame AR-D521U-A	56	2	28	2500	112	2650	2540	Jul-2017
200	CINT2006rate	Supermicro	SuperServer 1029U-TN10RT (X11DPU , Intel Xeon Platinum 8180)	56	2	28	2500	112	2820	2710	Aug-2017
201	CINT2006rate	Supermicro	SuperServer SYS-2049U-TR4 (X11QPH+, Intel Xeon Platinum 8180)	112	4	28	2500	224	0	5260	Aug-2017
