	benchmark	hardware_vendor	system	cores	chips	cores_per_chip	processor_mhz	base_copies	result	baseline	published
181	CINT2006rate	Dell Inc.	PowerEdge R740 (Intel Xeon Gold 6130, 2.10 GHz)	32	2	16	2100	64	0	1510	Jul-2017
182	CINT2006rate	Dell Inc.	PowerEdge R740 (Intel Xeon Gold 6130T, 2.10 GHz)	32	2	16	2100	64	0	1520	Oct-2017
183	CINT2006rate	Dell Inc.	PowerEdge R740 (Intel Xeon Gold 6132, 2.60 GHz)	28	2	14	2600	56	0	1510	Jul-2017
184	CINT2006rate	Dell Inc.	PowerEdge R740 (Intel Xeon Gold 6134, 3.20 GHz)	16	2	8	3200	32	0	1030	Jul-2017
185	CINT2006rate	Dell Inc.	PowerEdge R740 (Intel Xeon Gold 6136, 3.00 GHz)	24	2	12	3000	48	0	1450	Jul-2017
186	CINT2006rate	Dell Inc.	PowerEdge R740 (Intel Xeon Gold 6138, 2.00 GHz)	40	2	20	2000	80	0	1760	Jul-2017
187	CINT2006rate	Dell Inc.	PowerEdge R740 (Intel Xeon Gold 6138T, 2.00 GHz)	40	2	20	2100	80	0	1750	Oct-2017
188	CINT2006rate	Dell Inc.	PowerEdge R740 (Intel Xeon Gold 6140, 2.30 GHz)	36	2	18	2300	72	0	1760	Jul-2017
189	CINT2006rate	Dell Inc.	PowerEdge R740 (Intel Xeon Gold 6142, 2.60 GHz)	32	2	16	2600	64	0	1690	Jul-2017
190	CINT2006rate	Dell Inc.	PowerEdge R740 (Intel Xeon Gold 6144, 3.50 GHz)	16	2	8	3500	32	0	1090	Sep-2017
191	CINT2006rate	Dell Inc.	PowerEdge R740 (Intel Xeon Gold 6146, 3.20 GHz)	24	2	12	3200	48	0	1500	Sep-2017
192	CINT2006rate	Dell Inc.	PowerEdge R740 (Intel Xeon Gold 6148, 2.40 GHz)	40	2	20	2400	80	0	1950	Jul-2017
193	CINT2006rate	Dell Inc.	PowerEdge R740 (Intel Xeon Gold 6150, 2.70 GHz)	36	2	18	2700	72	0	1920	Jul-2017
194	CINT2006rate	Dell Inc.	PowerEdge R740 (Intel Xeon Gold 6152, 2.10 GHz)	44	2	22	2100	88	0	1970	Jul-2017
195	CINT2006rate	Dell Inc.	PowerEdge R740 (Intel Xeon Gold 6154, 3.00 GHz)	36	2	18	3000	72	0	2050	Jul-2017
196	CINT2006rate	Dell Inc.	PowerEdge R940 (Intel Xeon Gold 5115, 2.40 GHz)	40	4	10	2400	80	1940	1840	Jul-2017
197	CINT2006rate	Dell Inc.	PowerEdge R940 (Intel Xeon Gold 5118, 2.30 GHz)	48	4	12	2300	96	2330	2200	Jul-2017
198	CINT2006rate	Dell Inc.	PowerEdge R940 (Intel Xeon Gold 5120, 2.20 GHz)	56	4	14	2200	112	2610	2460	Jul-2017
199	CINT2006rate	Dell Inc.	PowerEdge R940 (Intel Xeon Gold 5122, 3.60 GHz)	16	4	4	3600	32	1150	1080	Jul-2017
200	CINT2006rate	Dell Inc.	PowerEdge R940 (Intel Xeon Gold 6126, 2.60 GHz)	48	4	12	2600	96	2660	2520	Jul-2017
201	CINT2006rate	Dell Inc.	PowerEdge R940 (Intel Xeon Gold 6128, 3.40 GHz)	24	4	6	3400	48	1690	1600	Jul-2017
202	CINT2006rate	Dell Inc.	PowerEdge R940 (Intel Xeon Gold 6130, 2.10 GHz)	64	4	16	2100	128	3080	2920	Jul-2017
203	CINT2006rate	Dell Inc.	PowerEdge R940 (Intel Xeon Gold 6132, 2.60 GHz)	56	4	14	2600	112	3090	2930	Jul-2017
204	CINT2006rate	Dell Inc.	PowerEdge R940 (Intel Xeon Gold 6134, 3.20 GHz)	32	4	8	3200	64	2150	2030	Jul-2017
205	CINT2006rate	Dell Inc.	PowerEdge R940 (Intel Xeon Gold 6136, 3.00 GHz)	48	4	12	3000	96	3040	2860	Jul-2017
206	CINT2006rate	Dell Inc.	PowerEdge R940 (Intel Xeon Gold 6138, 2.00 GHz)	80	4	20	2000	160	3530	3340	Jul-2017
207	CINT2006rate	Dell Inc.	PowerEdge R940 (Intel Xeon Gold 6140, 2.30 GHz)	72	4	18	2300	144	3560	3370	Jul-2017
208	CINT2006rate	Dell Inc.	PowerEdge R940 (Intel Xeon Gold 6142, 2.60 GHz)	64	4	16	2600	128	3450	3280	Jul-2017
209	CINT2006rate	Dell Inc.	PowerEdge R940 (Intel Xeon Gold 6144, 3.50 GHz)	32	4	8	3500	64	2260	2130	Sep-2017
210	CINT2006rate	Dell Inc.	PowerEdge R940 (Intel Xeon Gold 6146, 3.20 GHz)	48	4	12	3200	96	3090	2920	Sep-2017
211	CINT2006rate	Dell Inc.	PowerEdge R940 (Intel Xeon Gold 6148, 2.40 GHz)	80	4	20	2400	160	3910	3730	Jul-2017
212	CINT2006rate	Dell Inc.	PowerEdge R940 (Intel Xeon Gold 6150, 2.70 GHz)	72	4	18	2700	144	3900	3710	Jul-2017
213	CINT2006rate	Dell Inc.	PowerEdge R940 (Intel Xeon Gold 6152, 2.10 GHz)	88	4	22	2100	176	4030	3820	Jul-2017
214	CINT2006rate	Dell Inc.	PowerEdge R940 (Intel Xeon Gold 6154, 3.00 GHz)	72	4	18	3000	144	4230	4040	Jul-2017
215	CINT2006rate	Dell Inc.	PowerEdge T440 (Intel Xeon Gold 5122, 3.60 GHz)	8	2	4	3600	16	571	541	Sep-2017
216	CINT2006rate	Fujitsu	PRIMERGY RX2530 M4, Intel Xeon Gold 5115, 2.40GHz	20	2	10	2400	40	0	980	Sep-2017
217	CINT2006rate	Fujitsu	PRIMERGY RX2530 M4, Intel Xeon Gold 5118, 2.30GHz	24	2	12	2300	48	0	1160	Sep-2017
218	CINT2006rate	Fujitsu	PRIMERGY RX2530 M4, Intel Xeon Gold 5120, 2.20GHz	28	2	14	2200	56	0	1310	Sep-2017
219	CINT2006rate	Fujitsu	PRIMERGY RX2530 M4, Intel Xeon Gold 5122, 3.60GHz	8	2	4	3600	16	0	547	Sep-2017
220	CINT2006rate	Fujitsu	PRIMERGY RX2530 M4, Intel Xeon Gold 6126, 2.60GHz	24	2	12	2600	48	0	1310	Sep-2017
221	CINT2006rate	Fujitsu	PRIMERGY RX2530 M4, Intel Xeon Gold 6128, 3.40GHz	12	2	6	3400	24	0	822	Sep-2017
222	CINT2006rate	Fujitsu	PRIMERGY RX2530 M4, Intel Xeon Gold 6130, 2.10GHz	32	2	16	2100	64	0	1560	Sep-2017
223	CINT2006rate	Fujitsu	PRIMERGY RX2530 M4, Intel Xeon Gold 6132, 2.60GHz	28	2	14	2600	56	0	1540	Sep-2017
224	CINT2006rate	Fujitsu	PRIMERGY RX2530 M4, Intel Xeon Gold 6134, 3.20GHz	16	2	8	3200	32	0	1060	Sep-2017
225	CINT2006rate	Fujitsu	PRIMERGY RX2530 M4, Intel Xeon Gold 6136, 3.00GHz	24	2	12	3000	48	0	1480	Sep-2017
226	CINT2006rate	Fujitsu	PRIMERGY RX2530 M4, Intel Xeon Gold 6138, 2.00GHz	40	2	20	2000	80	0	1770	Sep-2017
227	CINT2006rate	Fujitsu	PRIMERGY RX2530 M4, Intel Xeon Gold 6140, 2.30GHz	36	2	18	2300	72	0	1760	Sep-2017
228	CINT2006rate	Fujitsu	PRIMERGY RX2530 M4, Intel Xeon Gold 6142, 2.60GHz	32	2	16	2600	64	0	1710	Sep-2017
229	CINT2006rate	Fujitsu	PRIMERGY RX2530 M4, Intel Xeon Gold 6144, 3.50GHz	16	2	8	3500	32	0	1120	Sep-2017
230	CINT2006rate	Fujitsu	PRIMERGY RX2530 M4, Intel Xeon Gold 6146, 3.20GHz	24	2	12	3200	48	0	1540	Sep-2017
231	CINT2006rate	Fujitsu	PRIMERGY RX2530 M4, Intel Xeon Gold 6148, 2.40GHz	40	2	20	2400	80	0	1940	Sep-2017
232	CINT2006rate	Fujitsu	PRIMERGY RX2530 M4, Intel Xeon Gold 6150, 2.70GHz	36	2	18	2700	72	0	1900	Sep-2017
233	CINT2006rate	Fujitsu	PRIMERGY RX2530 M4, Intel Xeon Gold 6152, 2.10GHz	44	2	22	2100	88	2090	1990	Sep-2017
234	CINT2006rate	Fujitsu	PRIMERGY RX2530 M4, Intel Xeon Gold 6154, 3.00GHz	36	2	18	3000	72	0	2090	Sep-2017
235	CINT2006rate	H3C	H3C UniServer R4900 G3	36	2	18	2300	72	1830	1740	Aug-2017
236	CINT2006rate	H3C	H3C UniServer R4900 G3 (Intel Xeon Gold 6140)	36	2	18	2300	72	1870	1770	Sep-2017
237	CINT2006rate	Huawei	Huawei 1288H V5 (Intel Xeon Gold 5115)	20	2	10	2400	40	1040	987	Sep-2017
238	CINT2006rate	Huawei	Huawei 1288H V5 (Intel Xeon Gold 5115)	20	2	10	2400	40	1020	949	Jul-2017
239	CINT2006rate	Huawei	Huawei 1288H V5 (Intel Xeon Gold 5118)	24	2	12	2300	48	1210	1150	Aug-2017
240	CINT2006rate	Huawei	Huawei 1288H V5 (Intel Xeon Gold 5118)	24	2	12	2300	48	1180	1090	Jul-2017
241	CINT2006rate	Huawei	Huawei 1288H V5 (Intel Xeon Gold 5120)	28	2	14	2200	56	1360	1290	Sep-2017
242	CINT2006rate	Huawei	Huawei 1288H V5 (Intel Xeon Gold 5120)	28	2	14	2200	56	1330	1240	Jul-2017
243	CINT2006rate	Huawei	Huawei 1288H V5 (Intel Xeon Gold 5122)	8	2	4	3600	16	604	565	Jul-2017
244	CINT2006rate	Huawei	Huawei 1288H V5 (Intel Xeon Gold 6126)	24	2	12	2600	48	1430	1330	Jul-2017
245	CINT2006rate	Huawei	Huawei 1288H V5 (Intel Xeon Gold 6128)	12	2	6	3400	24	884	827	Jul-2017
246	CINT2006rate	Huawei	Huawei 1288H V5 (Intel Xeon Gold 6130)	32	2	16	2100	64	1580	1480	Jul-2017
247	CINT2006rate	Huawei	Huawei 1288H V5 (Intel Xeon Gold 6132)	28	2	14	2600	56	1620	1520	Jul-2017
248	CINT2006rate	Huawei	Huawei 1288H V5 (Intel Xeon Gold 6134)	16	2	8	3200	32	1130	1050	Jul-2017
249	CINT2006rate	Huawei	Huawei 1288H V5 (Intel Xeon Gold 6136)	24	2	12	3000	48	1570	1470	Jul-2017
250	CINT2006rate	Huawei	Huawei 1288H V5 (Intel Xeon Gold 6138)	40	2	20	2000	80	1840	1740	Jul-2017
251	CINT2006rate	Huawei	Huawei 1288H V5 (Intel Xeon Gold 6140)	36	2	18	2300	72	1850	1740	Jul-2017
252	CINT2006rate	Huawei	Huawei 1288H V5 (Intel Xeon Gold 6142)	32	2	16	2600	64	1800	1690	Jul-2017
253	CINT2006rate	Huawei	Huawei 1288H V5 (Intel Xeon Gold 6148)	40	2	20	2400	80	2040	1930	Jul-2017
254	CINT2006rate	Huawei	Huawei 1288H V5 (Intel Xeon Gold 6150)	36	2	18	2700	72	2040	1940	Jul-2017
255	CINT2006rate	Huawei	Huawei 1288H V5 (Intel Xeon Gold 6152)	44	2	22	2100	88	2090	1970	Jul-2017
256	CINT2006rate	Huawei	Huawei 1288H V5 (Intel Xeon Gold 6154)	36	2	18	3000	72	2180	2070	Jul-2017
257	CINT2006rate	Huawei	Huawei 2288H V5 (Intel Xeon Gold 5115)	20	2	10	2400	40	1040	987	Sep-2017
258	CINT2006rate	Huawei	Huawei 2288H V5 (Intel Xeon Gold 5115)	20	2	10	2400	40	1020	947	Jul-2017
259	CINT2006rate	Huawei	Huawei 2288H V5 (Intel Xeon Gold 5118)	24	2	12	2300	48	1210	1150	Aug-2017
260	CINT2006rate	Huawei	Huawei 2288H V5 (Intel Xeon Gold 5118)	24	2	12	2300	48	1180	1090	Jul-2017
261	CINT2006rate	Huawei	Huawei 2288H V5 (Intel Xeon Gold 5120)	28	2	14	2200	56	1360	1290	Sep-2017
262	CINT2006rate	Huawei	Huawei 2288H V5 (Intel Xeon Gold 5120)	28	2	14	2200	56	1330	1240	Jul-2017
263	CINT2006rate	Huawei	Huawei 2288H V5 (Intel Xeon Gold 5122)	8	2	4	3600	16	604	564	Jul-2017
264	CINT2006rate	Huawei	Huawei 2288H V5 (Intel Xeon Gold 6126)	24	2	12	2600	48	1430	1330	Jul-2017
265	CINT2006rate	Huawei	Huawei 2288H V5 (Intel Xeon Gold 6128)	12	2	6	3400	24	885	828	Jul-2017
266	CINT2006rate	Huawei	Huawei 2288H V5 (Intel Xeon Gold 6130)	32	2	16	2100	64	1580	1480	Jul-2017
267	CINT2006rate	Huawei	Huawei 2288H V5 (Intel Xeon Gold 6132)	28	2	14	2600	56	1620	1520	Jul-2017
268	CINT2006rate	Huawei	Huawei 2288H V5 (Intel Xeon Gold 6134)	16	2	8	3200	32	1130	1050	Jul-2017
269	CINT2006rate	Huawei	Huawei 2288H V5 (Intel Xeon Gold 6136)	24	2	12	3000	48	1570	1470	Jul-2017
270	CINT2006rate	Huawei	Huawei 2288H V5 (Intel Xeon Gold 6138)	40	2	20	2000	80	1840	1740	Jul-2017
271	CINT2006rate	Huawei	Huawei 2288H V5 (Intel Xeon Gold 6140)	36	2	18	2300	72	1850	1740	Jul-2017
272	CINT2006rate	Huawei	Huawei 2288H V5 (Intel Xeon Gold 6142)	32	2	16	2600	64	1800	1700	Jul-2017
273	CINT2006rate	Huawei	Huawei 2288H V5 (Intel Xeon Gold 6144)	16	2	8	3500	32	1140	1090	Sep-2017
274	CINT2006rate	Huawei	Huawei 2288H V5 (Intel Xeon Gold 6148)	40	2	20	2400	80	2050	1930	Jul-2017
275	CINT2006rate	Huawei	Huawei 2288H V5 (Intel Xeon Gold 6150)	36	2	18	2700	72	2040	1940	Jul-2017
276	CINT2006rate	Huawei	Huawei 2288H V5 (Intel Xeon Gold 6152)	44	2	22	2100	88	2090	1960	Jul-2017
277	CINT2006rate	Huawei	Huawei 2288H V5 (Intel Xeon Gold 6154)	36	2	18	3000	72	2180	2070	Jul-2017
278	CINT2006rate	Huawei	Huawei 2488 V5 (Intel Xeon Gold 5120)	56	4	14	2200	112	2620	2470	Sep-2017
279	CINT2006rate	Huawei	Huawei 2488 V5 (Intel Xeon Gold 5122)	16	4	4	3600	32	1160	1090	Sep-2017
280	CINT2006rate	Huawei	Huawei 2488 V5 (Intel Xeon Gold 6126)	48	4	12	2600	96	2750	2600	Sep-2017
281	CINT2006rate	Huawei	Huawei 2488 V5 (Intel Xeon Gold 6126T)	48	4	12	2600	96	2720	2580	Sep-2017
282	CINT2006rate	Huawei	Huawei 2488 V5 (Intel Xeon Gold 6130)	64	4	16	2100	128	3080	2920	Sep-2017
283	CINT2006rate	Huawei	Huawei 2488 V5 (Intel Xeon Gold 6130T)	64	4	16	2100	128	3130	2970	Sep-2017
284	CINT2006rate	Huawei	Huawei 2488 V5 (Intel Xeon Gold 6134M)	32	4	8	3200	64	2210	2080	Sep-2017
285	CINT2006rate	Huawei	Huawei 2488 V5 (Intel Xeon Gold 6136)	48	4	12	3000	96	3040	2870	Sep-2017
286	CINT2006rate	Huawei	Huawei 2488 V5 (Intel Xeon Gold 6138)	80	4	20	2000	160	3550	3390	Sep-2017
287	CINT2006rate	Huawei	Huawei 2488 V5 (Intel Xeon Gold 6138T)	80	4	20	2000	160	3560	3390	Sep-2017
288	CINT2006rate	Huawei	Huawei 2488 V5 (Intel Xeon Gold 6140M)	72	4	18	2300	144	3630	3450	Sep-2017
289	CINT2006rate	Huawei	Huawei 2488 V5 (Intel Xeon Gold 6142)	64	4	16	2600	128	3420	3240	Sep-2017
290	CINT2006rate	Huawei	Huawei 2488 V5 (Intel Xeon Gold 6148)	80	4	20	2400	160	3960	3780	Sep-2017
291	CINT2006rate	Huawei	Huawei 2488 V5 (Intel Xeon Gold 6150)	72	4	18	2700	144	3940	3760	Sep-2017
292	CINT2006rate	Huawei	Huawei 2488 V5 (Intel Xeon Gold 6152)	88	4	22	2100	176	3970	3790	Sep-2017
293	CINT2006rate	Huawei	Huawei 2488 V5 (Intel Xeon Gold 6154)	72	4	18	3000	144	4190	4000	Sep-2017
294	CINT2006rate	Huawei	Huawei CH121 V5 (Intel Xeon Gold 5115)	20	2	10	2400	40	1040	988	Sep-2017
295	CINT2006rate	Huawei	Huawei CH121 V5 (Intel Xeon Gold 5115)	20	2	10	2400	40	1020	948	Jul-2017
296	CINT2006rate	Huawei	Huawei CH121 V5 (Intel Xeon Gold 5118)	24	2	12	2300	48	1210	1150	Aug-2017
297	CINT2006rate	Huawei	Huawei CH121 V5 (Intel Xeon Gold 5118)	24	2	12	2300	48	1180	1090	Jul-2017
298	CINT2006rate	Huawei	Huawei CH121 V5 (Intel Xeon Gold 5120)	28	2	14	2200	56	1360	1290	Sep-2017
299	CINT2006rate	Huawei	Huawei CH121 V5 (Intel Xeon Gold 5120)	28	2	14	2200	56	1330	1240	Jul-2017
300	CINT2006rate	Huawei	Huawei CH121 V5 (Intel Xeon Gold 5122)	8	2	4	3600	16	604	564	Jul-2017
301	CINT2006rate	Huawei	Huawei CH121 V5 (Intel Xeon Gold 6126)	24	2	12	2600	48	1430	1330	Jul-2017
302	CINT2006rate	Huawei	Huawei CH121 V5 (Intel Xeon Gold 6128)	12	2	6	3400	24	885	828	Jul-2017
303	CINT2006rate	Huawei	Huawei CH121 V5 (Intel Xeon Gold 6130)	32	2	16	2100	64	1580	1480	Jul-2017
304	CINT2006rate	Huawei	Huawei CH121 V5 (Intel Xeon Gold 6132)	28	2	14	2600	56	1620	1520	Jul-2017
305	CINT2006rate	Huawei	Huawei CH121 V5 (Intel Xeon Gold 6134)	16	2	8	3200	32	1130	1050	Jul-2017
306	CINT2006rate	Huawei	Huawei CH121 V5 (Intel Xeon Gold 6136)	24	2	12	3000	48	1570	1470	Jul-2017
307	CINT2006rate	Huawei	Huawei CH121 V5 (Intel Xeon Gold 6138)	40	2	20	2000	80	1840	1740	Jul-2017
308	CINT2006rate	Huawei	Huawei CH121 V5 (Intel Xeon Gold 6140)	36	2	18	2300	72	1850	1740	Jul-2017
309	CINT2006rate	Huawei	Huawei CH121 V5 (Intel Xeon Gold 6142)	32	2	16	2600	64	1800	1690	Jul-2017
310	CINT2006rate	Huawei	Huawei CH121 V5 (Intel Xeon Gold 6148)	40	2	20	2400	80	2050	1940	Jul-2017
311	CINT2006rate	Huawei	Huawei CH121 V5 (Intel Xeon Gold 6150)	36	2	18	2700	72	2040	1930	Jul-2017
312	CINT2006rate	Huawei	Huawei CH121 V5 (Intel Xeon Gold 6152)	44	2	22	2100	88	2090	1970	Jul-2017
313	CINT2006rate	Huawei	Huawei CH121 V5 (Intel Xeon Gold 6154)	36	2	18	3000	72	2180	2070	Jul-2017
314	CINT2006rate	Lenovo Global Technology	ThinkSystem SD530 (2.00 GHz, Intel Xeon Gold 6138)	40	2	20	2000	80	1870	1770	Oct-2017
315	CINT2006rate	Lenovo Global Technology	ThinkSystem SD530 (2.00 GHz, Intel Xeon Gold 6138T)	40	2	20	2000	80	1810	1700	Oct-2017
316	CINT2006rate	Lenovo Global Technology	ThinkSystem SD530 (2.10 GHz, Intel Xeon Gold 6130)	32	2	16	2100	64	1610	1530	Oct-2017
317	CINT2006rate	Lenovo Global Technology	ThinkSystem SD530 (2.10 GHz, Intel Xeon Gold 6130T)	32	2	16	2100	64	1580	1510	Oct-2017
318	CINT2006rate	Lenovo Global Technology	ThinkSystem SD530 (2.10 GHz, Intel Xeon Gold 6130T)	32	2	16	2100	64	1600	1530	Oct-2017
319	CINT2006rate	Lenovo Global Technology	ThinkSystem SD530 (2.10 GHz, Intel Xeon Gold 6152)	44	2	22	2100	88	2010	1910	Oct-2017
320	CINT2006rate	Lenovo Global Technology	ThinkSystem SD530 (2.20 GHz, Intel Xeon Gold 5120)	28	2	14	2200	56	1310	1220	Oct-2017
321	CINT2006rate	Lenovo Global Technology	ThinkSystem SD530 (2.20 GHz, Intel Xeon Gold 5120T)	28	2	14	2200	56	1330	1270	Oct-2017
322	CINT2006rate	Lenovo Global Technology	ThinkSystem SD530 (2.30 GHz, Intel Xeon Gold 5118)	24	2	12	2300	48	1180	1130	Oct-2017
323	CINT2006rate	Lenovo Global Technology	ThinkSystem SD530 (2.30 GHz, Intel Xeon Gold 6140)	36	2	18	2300	72	1850	1750	Oct-2017
324	CINT2006rate	Lenovo Global Technology	ThinkSystem SD530 (2.40 GHz, Intel Xeon Gold 5115)	20	2	10	2400	40	1010	964	Oct-2017
325	CINT2006rate	Lenovo Global Technology	ThinkSystem SD530 (2.40 GHz, Intel Xeon Gold 6148)	40	2	20	2400	80	2020	1910	Oct-2017
326	CINT2006rate	Lenovo Global Technology	ThinkSystem SD530 (2.60 GHz, Intel Xeon Gold 6126)	24	2	12	2600	48	1340	1270	Oct-2017
327	CINT2006rate	Lenovo Global Technology	ThinkSystem SD530 (2.60 GHz, Intel Xeon Gold 6142)	32	2	16	2600	64	1780	1680	Oct-2017
328	CINT2006rate	Lenovo Global Technology	ThinkSystem SD530 (2.70 GHz, Intel Xeon Gold 6150)	36	2	18	2700	72	2010	1900	Oct-2017
329	CINT2006rate	Lenovo Global Technology	ThinkSystem SD530 (3.00 GHz, Intel Xeon Gold 6136)	24	2	12	3000	48	1550	1460	Oct-2017
330	CINT2006rate	Lenovo Global Technology	ThinkSystem SD530 (3.20 GHz, Intel Xeon Gold 6134)	16	2	8	3200	32	1110	1040	Oct-2017
331	CINT2006rate	Lenovo Global Technology	ThinkSystem SD530 (3.60 GHz, Intel Xeon Gold 5122)	8	2	4	3600	16	569	540	Oct-2017
332	CINT2006rate	Lenovo Global Technology	ThinkSystem SN550 (2.00 GHz, Intel Xeon Gold 6138)	40	2	20	2000	80	1900	1780	Sep-2017
333	CINT2006rate	Lenovo Global Technology	ThinkSystem SN550 (2.10 GHz, Intel Xeon Gold 6130)	32	2	16	2100	64	1630	1550	Sep-2017
334	CINT2006rate	Lenovo Global Technology	ThinkSystem SN550 (2.10 GHz, Intel Xeon Gold 6130T)	32	2	16	2100	64	1630	1550	Sep-2017
335	CINT2006rate	Lenovo Global Technology	ThinkSystem SN550 (2.10 GHz, Intel Xeon Gold 6152)	44	2	22	2100	88	2070	1960	Sep-2017
336	CINT2006rate	Lenovo Global Technology	ThinkSystem SN550 (2.20 GHz, Intel Xeon Gold 5120)	28	2	14	2200	56	1340	1280	Oct-2017
337	CINT2006rate	Lenovo Global Technology	ThinkSystem SN550 (2.20 GHz, Intel Xeon Gold 5120T)	28	2	14	2200	56	1350	1290	Oct-2017
338	CINT2006rate	Lenovo Global Technology	ThinkSystem SN550 (2.30 GHz, Intel Xeon Gold 5118)	24	2	12	2300	48	1200	1150	Sep-2017
339	CINT2006rate	Lenovo Global Technology	ThinkSystem SN550 (2.30 GHz, Intel Xeon Gold 6140)	36	2	18	2300	72	1870	1800	Sep-2017
340	CINT2006rate	Lenovo Global Technology	ThinkSystem SN550 (2.40 GHz, Intel Xeon Gold 5115)	20	2	10	2400	40	1020	972	Oct-2017
341	CINT2006rate	Lenovo Global Technology	ThinkSystem SN550 (2.40 GHz, Intel Xeon Gold 6148)	40	2	20	2400	80	2040	1960	Oct-2017
342	CINT2006rate	Lenovo Global Technology	ThinkSystem SN550 (2.60 GHz, Intel Xeon Gold 6126)	24	2	12	2600	48	1410	1320	Oct-2017
343	CINT2006rate	Lenovo Global Technology	ThinkSystem SN550 (2.60 GHz, Intel Xeon Gold 6142)	32	2	16	2600	64	1810	1700	Sep-2017
344	CINT2006rate	Lenovo Global Technology	ThinkSystem SN550 (2.70 GHz, Intel Xeon Gold 6150)	36	2	18	2700	72	2040	1930	Sep-2017
345	CINT2006rate	Lenovo Global Technology	ThinkSystem SN550 (3.00 GHz, Intel Xeon Gold 6136)	24	2	12	3000	48	1560	1460	Oct-2017
346	CINT2006rate	Lenovo Global Technology	ThinkSystem SN550 (3.20 GHz, Intel Xeon Gold 6134)	16	2	8	3200	32	1110	1040	Oct-2017
347	CINT2006rate	Lenovo Global Technology	ThinkSystem SN550 (3.60 GHz, Intel Xeon Gold 5122)	8	2	4	3600	16	579	542	Oct-2017
348	CINT2006rate	Lenovo Global Technology	ThinkSystem SN850 (2.00 GHz, Intel Xeon Gold 6138)	80	4	20	2000	160	3670	3460	Oct-2017
349	CINT2006rate	Lenovo Global Technology	ThinkSystem SN850 (2.10 GHz, Intel Xeon Gold 6130)	64	4	16	2100	128	3140	2950	Oct-2017
350	CINT2006rate	Lenovo Global Technology	ThinkSystem SN850 (2.10 GHz, Intel Xeon Gold 6130T)	64	4	16	2100	128	3130	2980	Oct-2017
351	CINT2006rate	Lenovo Global Technology	ThinkSystem SN850 (2.10 GHz, Intel Xeon Gold 6152)	88	4	22	2100	176	3990	3790	Oct-2017
352	CINT2006rate	Lenovo Global Technology	ThinkSystem SN850 (2.20 GHz, Intel Xeon Gold 5120)	56	4	14	2200	112	2660	2540	Oct-2017
353	CINT2006rate	Lenovo Global Technology	ThinkSystem SN850 (2.20 GHz, Intel Xeon Gold 5120T)	56	4	14	2200	112	2640	2520	Oct-2017
354	CINT2006rate	Lenovo Global Technology	ThinkSystem SN850 (2.30 GHz, Intel Xeon Gold 5118)	48	4	12	2300	96	2390	2270	Oct-2017
355	CINT2006rate	Lenovo Global Technology	ThinkSystem SN850 (2.30 GHz, Intel Xeon Gold 6140)	72	4	18	2300	144	3640	3440	Oct-2017
356	CINT2006rate	Lenovo Global Technology	ThinkSystem SN850 (2.40 GHz, Intel Xeon Gold 5115)	40	4	10	2400	80	1980	1890	Oct-2017
357	CINT2006rate	Lenovo Global Technology	ThinkSystem SN850 (2.40 GHz, Intel Xeon Gold 6148)	80	4	20	2400	160	3960	3750	Sep-2017
358	CINT2006rate	Lenovo Global Technology	ThinkSystem SN850 (2.60 GHz, Intel Xeon Gold 6126)	48	4	12	2600	96	2700	2550	Oct-2017
359	CINT2006rate	Lenovo Global Technology	ThinkSystem SN850 (2.60 GHz, Intel Xeon Gold 6142)	64	4	16	2600	128	3510	3320	Oct-2017
360	CINT2006rate	Lenovo Global Technology	ThinkSystem SN850 (2.70 GHz, Intel Xeon Gold 6150)	72	4	18	2700	144	3980	3780	Sep-2017
361	CINT2006rate	Lenovo Global Technology	ThinkSystem SN850 (3.00 GHz, Intel Xeon Gold 6136)	48	4	12	3000	96	3030	2850	Oct-2017
362	CINT2006rate	Lenovo Global Technology	ThinkSystem SN850 (3.20 GHz, Intel Xeon Gold 6134)	32	4	8	3200	64	2180	2040	Oct-2017
363	CINT2006rate	Lenovo Global Technology	ThinkSystem SN850 (3.60 GHz, Intel Xeon Gold 5122)	16	4	4	3600	32	1150	1080	Oct-2017
364	CINT2006rate	Lenovo Global Technology	ThinkSystem SR530 (2.00 GHz, Intel Xeon Gold 6138)	40	2	20	2000	80	1860	1750	Jul-2017
365	CINT2006rate	Lenovo Global Technology	ThinkSystem SR530 (2.10 GHz, Intel Xeon Gold 6130)	32	2	16	2100	64	1580	1510	Sep-2017
366	CINT2006rate	Lenovo Global Technology	ThinkSystem SR530 (2.10 GHz, Intel Xeon Gold 6130T)	32	2	16	2100	64	1600	1530	Sep-2017
367	CINT2006rate	Lenovo Global Technology	ThinkSystem SR530 (2.20 GHz, Intel Xeon Gold 5120)	28	2	14	2200	56	1320	1260	Sep-2017
368	CINT2006rate	Lenovo Global Technology	ThinkSystem SR530 (2.20 GHz, Intel Xeon Gold 5120T)	28	2	14	2200	56	1330	1270	Sep-2017
369	CINT2006rate	Lenovo Global Technology	ThinkSystem SR530 (2.30 GHz, Intel Xeon Gold 5118)	24	2	12	2300	48	1190	1130	Sep-2017
370	CINT2006rate	Lenovo Global Technology	ThinkSystem SR530 (2.40 GHz, Intel Xeon Gold 5115)	20	2	10	2400	40	1010	966	Oct-2017
371	CINT2006rate	Lenovo Global Technology	ThinkSystem SR530 (2.60 GHz, Intel Xeon Gold 6126)	24	2	12	2600	48	1380	1310	Sep-2017
